name_customer,cust_number,invoice_creation_date,invoice_due_date,clear_date,total_open_amount
COAS corporation,200337148,2020-02-06,2020-02-06,2020-02-06,54714.07
WAL-MAR corp,200769623,2020-03-04,2020-03-04,2020-03-04,3228.13
KRAFT  trust,CCU001,2019-05-31,2019-05-31,2019-05-31,31715.46
DEC corp,200803720,2019-05-31,2019-05-31,,138.6
WAL-MAR trust,200769623,2019-04-26,2019-04-26,2019-04-26,34565.51
INGL in,200759082,2019-08-23,2019-08-23,2019-08-23,65353.0
WAL-MAR corporation,200769623,2020-02-27,2020-02-27,2020-02-27,49723.89
WAL-MAR us,200769623,2019-01-29,2019-01-29,2019-01-29,353.96
DECA systems,200230690,2019-05-10,2019-05-10,2019-05-10,3435.96
COST co,200794332,2019-05-10,2019-05-10,,32715.47
DEC us,200020431,2019-05-10,2019-05-10,,174.72
WAL-MAR ,200769623,2019-08-05,2019-08-05,2019-08-05,21418.85
MBM  foundation,200701314,2020-01-31,2020-01-31,2020-01-31,12606.72
QUI us,200742791,2020-03-04,2020-03-04,2020-03-04,25580.96
BROOKS systems,200743129,2019-09-10,2019-09-10,2019-09-10,20360.19
WAL-MAR associates,200769623,2019-09-10,2019-09-10,,767.78
SYSCO FO trust,200780825,2019-07-30,2019-07-30,2019-07-30,322.48
C&S WH llc,200762301,2020-02-05,2020-02-05,2020-02-05,91102.25
DI llc,200769369,2019-04-01,2019-04-01,2019-04-01,73077.72
AMAZO ,100030194,2019-07-15,2019-07-15,2019-07-15,2827.8
SYSCO  us,200714710,2019-06-24,2019-06-24,2019-06-24,3285.62
THE  corp,140106181,2019-09-18,2019-09-18,2019-09-18,6912.0
DASA I ,100028450,2019-05-23,2019-05-23,2019-05-23,24351.25
CO in,200561861,2019-06-21,2019-06-21,2019-06-21,22491.08
US  co,200622385,2019-05-10,2019-05-10,2019-05-10,981.31
WAL-MAR foundation,200769623,2020-01-24,2020-01-24,2020-01-24,71008.69
TARG in,200744019,2019-02-26,2019-02-26,2019-02-26,8445.33
KROGER foundation,200752302,2019-09-03,2019-09-03,2019-09-03,79935.8
SHOPPE foundation,140105785,2019-09-03,2019-09-03,,2829.6
WAL-MAR in,200769623,2019-02-11,2019-02-11,2019-02-11,13636.19
WAL-MAR llc,200769623,2019-04-08,2019-04-08,2019-04-08,71047.42
WAL-MAR corporation,200769623,2019-06-25,2019-06-25,2019-06-25,3748.84
ASSOCIAT co,200772670,2019-03-06,2019-03-06,2019-03-06,74898.29
WAL-MAR foundation,200769623,2019-11-20,2019-11-20,2019-11-20,6300.98
WAL-MAR ,200769623,2019-11-20,2019-11-20,,14514.68
WAL-MAR foundation,200769623,2019-11-20,2019-11-20,,55400.31
DOT co,200705742,2019-05-17,2019-05-17,2019-05-17,26520.18
ASSOCIAT corporation,200772670,2019-05-17,2019-05-17,,174766.36
C&S WH ,200762301,2019-04-01,2019-04-01,2019-04-01,75138.42
H E BUT in,200761734,2019-08-07,2019-08-07,2019-08-07,78043.58
LOB us,140104409,2019-06-21,2019-06-21,2019-06-21,51234.16
SYSCO systems,200900909,2019-06-21,2019-06-21,,31512.75
WAL-MAR systems,200769623,2019-06-21,2019-06-21,,19701.55
PEA us,200455322,2019-11-07,2019-11-07,2019-11-07,42362.3
BARGAIN  corporation,200290370,2019-09-27,2019-09-27,2019-09-27,6347.86
WAL-MAR systems,200769623,2019-07-10,2019-07-10,2019-07-10,48129.8
BJ'S  trust,200726979,2019-07-10,2019-07-10,,132.72
WAL-MAR corp,200769623,2019-10-10,2019-10-10,2019-10-10,5957.04
WAL-MAR llc,200769623,2019-09-03,2019-09-03,2019-09-03,423.47
WEST  trust,100028210,2019-03-23,2019-03-23,2019-03-23,32415.05
WAL-MAR llc,200769623,2019-09-03,2019-09-03,2019-09-03,1328.25
BROOKS in,200743129,2019-08-14,2019-08-14,2019-08-14,116300.54
WAL-MAR llc,200769623,2019-08-14,2019-08-14,,1121.15
WAL-MAR llc,200769623,2019-08-14,2019-08-14,,11394.84
PROFIC corporation,200783609,2020-01-29,2020-01-29,2020-01-29,20306.46
INTERN trust,100033266,2019-12-24,2019-12-24,2019-12-24,17243.1
TARG associates,200744019,2020-02-26,2020-02-26,2020-02-26,22993.63
JETR foundation,200705089,2019-08-07,2019-08-07,2019-08-07,18939.75
INTERSTA co,100032262,2019-06-29,2019-06-29,2019-06-29,13872.48
C&S WH systems,200762301,2020-02-19,2020-02-19,2020-02-19,937.68
GORDON F co,140105847,2020-02-19,2020-02-19,,3685.2
WAL-MAR co,200769623,2019-05-09,2019-05-09,2019-05-09,1170.27
WAL-MAR co,200769623,2019-03-18,2019-03-18,2019-03-18,23976.32
REINHA trust,200756072,2019-04-17,2019-04-17,2019-04-17,18828.87
WAL-MAR us,200769623,2019-12-23,2019-12-23,2019-12-23,720.78
COST in,200794332,2019-10-07,2019-10-07,2019-10-07,13091.11
DECA ,200353024,2020-03-02,2020-03-02,2020-03-02,28.32
C&S WH us,200762301,2020-02-14,2020-02-14,2020-02-14,19665.2
TARG foundation,200744019,2020-02-14,2020-02-14,,52123.3
COSTCO corp,140104429,2019-05-09,2019-05-09,2019-05-09,67034.28
WAL-MAR systems,200769623,2019-05-09,2019-05-09,,14994.01
WAL-MAR llc,200769623,2019-05-09,2019-05-09,,36.06
WAL-MAR foundation,200769623,2019-05-28,2019-05-28,2019-05-28,13112.14
MEIJ associates,200780383,2019-06-21,2019-06-21,2019-06-21,19997.78
SA llc,200759878,2020-03-06,2020-03-06,2020-03-06,124047.42
DOLLA llc,200148860,2019-09-25,2019-09-25,2019-09-25,99386.3
BJ'S  systems,200726979,2019-10-15,2019-10-15,2019-10-15,2211.63
SAFEW corporation,200772595,2019-04-29,2019-04-29,2019-04-29,2588.65
ASSOCIAT trust,200772670,2019-04-18,2019-04-18,2019-04-18,99608.36
WAL-MAR associates,200769623,2019-04-01,2019-04-01,2019-04-01,16982.59
JRD us,200781803,2019-07-15,2019-07-15,2019-07-15,1721.07
TARG ,200744019,2019-10-23,2019-10-23,2019-10-23,13533.21
WAL-MAR ,200769623,2019-10-15,2019-10-15,2019-10-15,3225.75
ASSOCI in,200719839,2019-11-04,2019-11-04,2019-11-04,1172.53
COST ,200794332,2019-04-12,2019-04-12,2019-04-12,32944.47
H E BUT trust,200761734,2019-11-27,2019-11-27,2019-11-27,11443.14
BIRD-I ,200966888,2020-01-25,2020-01-25,2020-01-25,4884.0
GORDO ,200782001,2019-03-26,2019-03-26,2019-03-26,38182.86
RONALD co,140118168,2019-05-31,2019-05-31,2019-05-31,24960.0
AM in,200418007,2019-05-31,2019-05-31,,25836.19
SYSC systems,200331749,2019-12-31,2019-12-31,2019-12-31,17710.21
AM systems,200418007,2019-02-26,2019-02-26,2019-02-26,7790.06
SAFEW us,200772595,2019-07-23,2019-07-23,2019-07-23,48577.93
AL foundation,200739006,2019-07-23,2019-07-23,,4309.05
WAL-MAR co,200769623,2019-02-19,2019-02-19,2019-02-19,316.8
DELHAIZE associates,100031704,2019-02-19,2019-02-19,,70181.07
WAL-MAR trust,200769623,2019-02-19,2019-02-19,,3403.8
DEC ,200020431,2019-07-24,2019-07-24,2019-07-24,1867.12
COST systems,200794332,2020-03-06,2020-03-06,2020-03-06,1715.7
SYSCO ,200900909,2019-07-09,2019-07-09,2019-07-09,31309.71
DOT associates,200705742,2019-12-10,2019-12-10,2019-12-10,94490.93
WAL-MAR systems,200769623,2020-01-27,2020-01-27,2020-01-27,6663.09
KRAFT  corporation,CCCA02,2019-03-29,2019-03-29,2019-03-29,16245.14
TARG corp,200744019,2020-02-21,2020-02-21,2020-02-21,46665.92
TARG llc,200744019,2019-02-19,2019-02-19,2019-02-19,20463.04
SA associates,200759878,2019-08-27,2019-08-27,2019-08-27,26097.25
TARG systems,200744019,2019-08-27,2019-08-27,,10665.53
OK ,200739534,2019-10-18,2019-10-18,2019-10-18,19190.96
DECA foundation,200592182,2019-04-25,2019-04-25,2019-04-25,7642.71
DARDEN D corp,200229974,2019-05-15,2019-05-15,2019-05-15,22759.63
DOT associates,200705742,2019-12-20,2019-12-20,2019-12-20,1683.46
DEC llc,200803720,2019-05-25,2019-05-25,2019-05-25,320.06
GORDON F llc,140105847,2019-05-13,2019-05-13,2019-05-13,33523.0
WAL-MAR corp,200769623,2020-02-03,2020-02-03,2020-02-03,7040.6
C&S W llc,200965912,2019-12-30,2019-12-30,2019-12-30,45235.58
SA ,200759878,2019-01-22,2019-01-22,2019-01-22,13873.43
ASSOCIAT ,200772670,2019-05-13,2019-05-13,2019-05-13,61001.54
WAL-MAR llc,200769623,2020-03-06,2020-03-06,2020-03-06,17479.1
WAL-MAR llc,200769623,2019-09-24,2019-09-24,2019-09-24,28649.56
MEIJ us,200780383,2019-01-28,2019-01-28,2019-01-28,46474.49
SA foundation,200759878,2019-01-22,2019-01-22,2019-01-22,14516.79
WAL-MAR foundation,200769623,2019-06-21,2019-06-21,2019-06-21,16101.13
DI ,200769369,2019-11-26,2019-11-26,2019-11-26,15258.5
WAL-MAR ,200769623,2019-10-15,2019-10-15,2019-10-15,69527.13
PAPA JO in,100043936,2019-10-31,2019-10-31,2019-10-31,15026.34
BJ'S  ,200726979,2019-01-22,2019-01-22,2019-01-22,83081.83
ATLANT llc,140106293,2019-06-24,2019-06-24,2019-06-24,38.22
COST foundation,200794332,2019-05-01,2019-05-01,2019-05-01,20557.14
TARG trust,200744019,2019-10-02,2019-10-02,2019-10-02,37071.97
WAL-MAR us,200769623,2019-11-26,2019-11-26,2019-11-26,13683.15
SYSCO trust,200900909,2019-05-06,2019-05-06,2019-05-06,9481.83
BJ'S  systems,200726979,2020-03-09,2020-03-09,2020-03-09,344.27
ASSOCIAT ,200772670,2019-10-18,2019-10-18,2019-10-18,2254.37
BJ'S  trust,200726979,2019-03-06,2019-03-06,2019-03-06,820.4
DELHAIZE systems,100031704,2019-03-04,2019-03-04,2019-03-04,17231.53
GORDO us,200782001,2019-03-13,2019-03-13,2019-03-13,1591.96
WAL-MAR ,200769623,2019-03-13,2019-03-13,,7280.51
SA us,200759878,2020-02-04,2020-02-04,2020-02-04,38899.31
DEC associates,200416837,2019-11-18,2019-11-18,2019-11-18,4819.24
SUPE ,200936373,2019-06-27,2019-06-27,2019-06-27,95073.2
SYSTEMS co,200719300,2019-07-17,2019-07-17,2019-07-17,13859.37
DEC us,200416837,2019-03-25,2019-03-25,2019-03-25,20857.19
SA co,200759878,2020-01-21,2020-01-21,2020-01-21,13768.73
SA in,200759878,2019-07-29,2019-07-29,2019-07-29,82605.09
HEIN corporation,CC6050,2019-11-24,2019-11-24,2019-11-24,6377.39
INTERR llc,200580232,2020-02-26,2020-02-26,2020-02-26,42383.25
BJ'S  corporation,200726979,2020-02-26,2020-02-26,,13681.7
WAL-MAR co,200769623,2019-10-15,2019-10-15,2019-10-15,1735.16
BURR corp,200555117,2019-01-28,2019-01-28,2019-01-28,475.69
ASSOCIAT associates,200772670,2019-12-04,2019-12-04,2019-12-04,58990.76
WAL-MAR corporation,200769623,2019-12-06,2019-12-06,2019-12-06,12591.43
WINC associates,200706844,2019-12-06,2019-12-06,,33947.85
WAL-MAR corporation,200769623,2019-09-10,2019-09-10,2019-09-10,48398.85
WAL-MAR corporation,200769623,2019-11-05,2019-11-05,2019-11-05,14752.57
KEURIG co,100032284,2019-08-28,2019-08-28,2019-08-28,8972.99
M llc,200793830,2019-08-28,2019-08-28,,4537.14
RESTA foundation,200974851,2019-04-10,2019-04-10,2019-04-10,1686.74
WAL-MAR foundation,200769623,2019-04-10,2019-04-10,,14355.96
WAL-MAR systems,200769623,2019-04-10,2019-04-10,,367.71
WAL-MAR corp,200769623,2019-12-05,2019-12-05,2019-12-05,22096.07
HEIN systems,CC6050,2019-06-12,2019-06-12,2019-06-12,14278.48
WAL-MAR trust,200769623,2019-06-12,2019-06-12,,56284.77
WAL-MAR us,200769623,2019-05-29,2019-05-29,2019-05-29,7000.45
DOT co,200705742,2019-09-16,2019-09-16,2019-09-16,48806.26
WAKE llc,200704858,2019-12-06,2019-12-06,2019-12-06,29929.01
COST in,200794332,2020-03-09,2020-03-09,2020-03-09,6681.26
UNIFIE trust,200792293,2019-09-13,2019-09-13,2019-09-13,19170.69
COST llc,200794332,2020-02-26,2020-02-26,2020-02-26,98321.98
RITE associates,200781831,2019-07-05,2019-07-05,2019-07-05,89474.22
WAL-MAR ,200769623,2019-12-04,2019-12-04,2019-12-04,1244.9
WEGMAN in,200711029,2019-06-03,2019-06-03,2019-06-03,19496.39
SUPE associates,200936373,2019-10-17,2019-10-17,2019-10-17,136.08
WAL-MAR systems,200769623,2019-10-17,2019-10-17,,50493.86
WAL-MAR llc,200769623,2019-10-17,2019-10-17,,15489.43
WESTI corporation,100033439,2019-01-18,2019-01-18,2019-01-18,20367.5
COLABOR  foundation,140104340,2019-12-12,2019-12-12,2019-12-12,58.08
PANAMEX  corporation,100036060,2020-03-17,2020-03-17,2020-03-17,24643.72
COST systems,200794332,2020-01-17,2020-01-17,2020-01-17,20557.14
WAL-M co,140106408,2019-04-25,2019-04-25,2019-04-25,9536.62
KROG corp,200749782,2019-11-04,2019-11-04,2019-11-04,8301.45
WAL-MAR systems,200769623,2019-01-23,2019-01-23,2019-01-23,15823.03
PERISH ,200526831,2019-04-11,2019-04-11,2019-04-11,134457.26
AM ,200418007,2019-08-12,2019-08-12,2019-08-12,3476.52
NICH corp,200779111,2020-01-24,2020-01-24,2020-01-24,495.86
AM llc,200418007,2019-11-05,2019-11-05,2019-11-05,642.24
WAL-MAR us,200769623,2019-12-10,2019-12-10,2019-12-10,16907.57
DELHAIZE corporation,100031704,2019-05-17,2019-05-17,2019-05-17,51147.1
METRO  llc,140104423,2019-05-17,2019-05-17,,133113.36
DECA llc,200353024,2019-11-01,2019-11-01,2019-11-01,6733.93
WAL-MAR co,200769623,2019-07-16,2019-07-16,2019-07-16,44952.8
DECA corp,200353024,2019-03-04,2019-03-04,2019-03-04,49.44
AM llc,200418007,2019-03-25,2019-03-25,2019-03-25,72721.08
SUPE trust,200793568,2019-07-17,2019-07-17,2019-07-17,54073.74
UNITE in,200696090,2019-04-12,2019-04-12,2019-04-12,3329.23
WAL-MAR co,200769623,2020-02-10,2020-02-10,2020-02-10,2416.07
BJ'S  systems,200726979,2020-02-10,2020-02-10,,360.33
WAL-MAR us,200769623,2020-03-05,2020-03-05,2020-03-05,3703.19
WAL-MAR ,200769623,2019-06-12,2019-06-12,2019-06-12,39293.61
LOB corporation,140104409,2020-01-31,2020-01-31,2020-01-31,56042.28
WAL-MAR us,200769623,2019-06-17,2019-06-17,2019-06-17,26666.4
STATER  llc,200743996,2019-06-17,2019-06-17,,3826.03
SYSCO F corp,200763814,2019-12-20,2019-12-20,2019-12-20,24209.83
DI systems,200769369,2019-02-11,2019-02-11,2019-02-11,11523.97
COSTCO co,140104429,2019-12-12,2019-12-12,2019-12-12,92913.93
COST foundation,200794332,2019-09-13,2019-09-13,2019-09-13,7884.97
WAL-MAR corp,200769623,2019-12-09,2019-12-09,2019-12-09,30162.79
COLABOR  llc,140104340,2019-11-14,2019-11-14,2019-11-14,2155.28
DOLLAR systems,100001196,2020-02-13,2020-02-13,2020-02-13,20217.6
QUI us,200742791,2019-05-13,2019-05-13,2019-05-13,23150.75
WAL-MAR in,200769623,2019-02-26,2019-02-26,2019-02-26,43371.16
AMY llc,100036292,2019-09-10,2019-09-10,2019-09-10,17336.04
WAL-MAR co,200769623,2019-06-04,2019-06-04,2019-06-04,53750.69
KROGER trust,200752302,2019-06-04,2019-06-04,,96674.05
DOT ,200705742,2019-02-13,2019-02-13,2019-02-13,113.47
KRAFT  foundation,CCCA02,2019-08-02,2019-08-02,2019-08-02,74819.57
PUBLI systems,200707822,2019-11-12,2019-11-12,2019-11-12,22990.16
SYSC llc,140105686,2019-11-12,2019-11-12,,61757.57
C&S WH trust,200762301,2019-01-18,2019-01-18,2019-01-18,5595.12
WEGMAN corp,200711029,2019-01-18,2019-01-18,,14382.22
KRAFT  ,CCCA02,2019-05-31,2019-05-31,2019-05-31,1264.16
KRAFT F foundation,CCU013,2019-03-01,2019-03-01,2019-03-01,3195.37
WAL-MAR corp,200769623,2019-12-20,2019-12-20,2019-12-20,15804.65
KRAFT  corporation,CCU001,2019-12-20,2019-12-20,,25468.67
WAL-MAR llc,200769623,2019-12-20,2019-12-20,,35509.95
WAKE us,200704858,2019-05-29,2019-05-29,2019-05-29,17520.12
WEIS systems,200771157,2019-05-20,2019-05-20,2019-05-20,3490.87
WAL-MAR associates,200769623,2019-05-20,2019-05-20,,13512.61
GORDON F associates,140105847,2020-02-10,2020-02-10,2020-02-10,67110.85
SMITH'S in,200466603,2019-11-07,2019-11-07,2019-11-07,96922.79
SYSCO F systems,200718130,2019-09-03,2019-09-03,2019-09-03,2407.15
ASSOCIAT corp,200772670,2019-09-03,2019-09-03,,24421.33
WAL-MAR corp,200769623,2019-08-26,2019-08-26,2019-08-26,1897.5
WAL-MAR corp,200769623,2019-07-05,2019-07-05,2019-07-05,14232.21
WAL-MAR co,200769623,2019-07-05,2019-07-05,,11217.33
GROC corporation,200915438,2019-09-18,2019-09-18,2019-09-18,15925.12
WAL-MAR systems,200769623,2019-09-18,2019-09-18,,12554.13
SA foundation,200759878,2019-09-19,2019-09-19,2019-09-19,15725.29
SA trust,200729942,2019-07-02,2019-07-02,2019-07-02,7224.52
BJ'S  systems,200726979,2019-07-19,2019-07-19,2019-07-19,510.06
WAL-MAR llc,200769623,2020-02-12,2020-02-12,2020-02-12,36211.47
WAL-MAR trust,200769623,2019-04-29,2019-04-29,2019-04-29,16793.1
WAL-MAR corp,200769623,2019-01-23,2019-01-23,2019-01-23,2974.01
COST co,200794332,2019-12-30,2019-12-30,2019-12-30,61646.9
ASSOCIAT us,200772670,2020-01-28,2020-01-28,2020-01-28,52396.08
BRADY trust,200942148,2019-10-10,2019-10-10,2019-10-10,16912.8
TARG ,200744019,2019-10-30,2019-10-30,2019-10-30,245.54
WOODM co,200720238,2019-10-30,2019-10-30,,126919.03
WALG associates,200712105,2019-09-06,2019-09-06,2019-09-06,16930.48
WAL-MAR corp,200769623,2020-03-05,2020-03-05,2020-03-05,14949.55
WAL-MAR us,200769623,2019-01-24,2019-01-24,2019-01-24,29880.86
DOT corporation,200705742,2019-06-17,2019-06-17,2019-06-17,2960.57
DOLLA trust,200148860,2019-02-25,2019-02-25,2019-02-25,18126.73
WAL-MAR foundation,200769623,2020-02-19,2020-02-19,2020-02-19,72955.78
WAL-M in,140106408,2020-02-19,2020-02-19,,40768.12
C&S WH foundation,200762301,2020-01-23,2020-01-23,2020-01-23,20211.37
WAL-MAR co,200769623,2019-04-23,2019-04-23,2019-04-23,58082.83
BJ'S  corporation,200726979,2019-06-11,2019-06-11,2019-06-11,59.16
SYSC ,140105686,2019-08-29,2019-08-29,2019-08-29,28812.25
WAL-MAR associates,200769623,2019-11-12,2019-11-12,2019-11-12,55286.67
WAL-MAR co,200769623,2019-11-12,2019-11-12,,24834.9
PERISH corporation,200526831,2019-04-29,2019-04-29,2019-04-29,110103.7
DECA corporation,200230690,2019-06-25,2019-06-25,2019-06-25,4698.17
SUPE llc,200936373,2020-02-21,2020-02-21,2020-02-21,73644.11
WINC systems,200706844,2019-11-05,2019-11-05,2019-11-05,17741.14
SYSC systems,140105686,2019-07-04,2019-07-04,2019-07-04,73283.45
WAL-MAR in,200769623,2019-05-14,2019-05-14,2019-05-14,15872.12
WAL-MAR co,200769623,2019-09-10,2019-09-10,2019-09-10,44874.28
WAL-MAR foundation,200769623,2019-11-21,2019-11-21,2019-11-21,13.65
MEIJ in,200780383,2020-01-21,2020-01-21,2020-01-21,54614.3
WAL-MAR us,200769623,2020-01-21,2020-01-21,,50202.83
WAL-MAR us,200769623,2020-01-21,2020-01-21,,8299.7
WAL-MAR co,200769623,2019-12-10,2019-12-10,2019-12-10,39409.42
MCL corporation,200799367,2019-12-10,2019-12-10,,51602.13
SHOPPE us,140105785,2019-09-03,2019-09-03,2019-09-03,18913.86
BJ'S  ,200726979,2020-03-10,2020-03-10,2020-03-10,68.91
CALIFO associates,200287284,2019-08-23,2019-08-23,2019-08-23,535045.04
WAL-MAR foundation,200769623,2019-01-09,2019-01-09,2019-01-09,20695.38
SA co,200759878,2019-01-09,2019-01-09,,18900.99
GROCE corporation,200573068,2020-01-24,2020-01-24,2020-01-24,19020.02
DEC corporation,200803720,2019-08-16,2019-08-16,2019-08-16,383.64
H T H corp,200078795,2019-11-20,2019-11-20,2019-11-20,464.08
COST corp,200794332,2019-11-20,2019-11-20,,49467.7
US  us,200515231,2019-11-20,2019-11-20,,10187.66
WAL-MAR trust,200769623,2020-01-21,2020-01-21,2020-01-21,27497.1
WAL-MAR foundation,200769623,2019-12-26,2019-12-26,2019-12-26,3795.7
KENNETH co,200729828,2019-03-26,2019-03-26,2019-03-26,61470.32
DEC trust,200803720,2019-05-01,2019-05-01,2019-05-01,62.7
PUBLI trust,200707822,2019-06-13,2019-06-13,2019-06-13,117771.0
SYGMA corp,200782669,2019-06-13,2019-06-13,,237.4
DELHAIZE ,100031704,2019-02-01,2019-02-01,2019-02-01,59953.23
HEARTHSI llc,200399141,2019-09-30,2019-09-30,2019-09-30,71580.0
WAL-MAR foundation,200769623,2019-09-30,2019-09-30,,11532.84
COLABOR  foundation,140104340,2019-08-29,2019-08-29,2019-08-29,785.26
M  us,200424504,2019-08-16,2019-08-16,2019-08-16,6127.08
COSTCO us,140104429,2019-09-05,2019-09-05,2019-09-05,6156.93
WAL-MAR trust,200769623,2019-07-05,2019-07-05,2019-07-05,69976.62
WEIS associates,200771157,2019-03-18,2019-03-18,2019-03-18,66520.4
STATER  systems,200743996,2019-04-15,2019-04-15,2019-04-15,955.72
WAL-MAR ,200769623,2019-04-15,2019-04-15,,20017.92
US  llc,200778355,2019-11-08,2019-11-08,2019-11-08,51733.48
WAL-MAR trust,200769623,2019-11-19,2019-11-19,2019-11-19,27350.39
WAL-MAR trust,200769623,2019-08-06,2019-08-06,2019-08-06,53200.16
SYSCO  corporation,200714710,2019-01-15,2019-01-15,2019-01-15,47825.79
WAL-MAR co,200769623,2019-11-12,2019-11-12,2019-11-12,14793.88
KROGER co,200793513,2019-09-12,2019-09-12,2019-09-12,65476.71
KROGER ,200729290,2019-12-30,2019-12-30,2019-12-30,45346.85
COST associates,200794332,2019-01-23,2019-01-23,2019-01-23,20557.14
MEIJ us,200780383,2019-10-22,2019-10-22,2019-10-22,131654.89
WAL-MAR associates,200769623,2019-02-04,2019-02-04,2019-02-04,48098.93
SUPE associates,200936373,2019-07-16,2019-07-16,2019-07-16,49160.75
DEC systems,200803720,2019-07-01,2019-07-01,2019-07-01,294.66
HEIN llc,CC7455,2019-05-03,2019-05-03,2019-05-03,22348.78
WAL-MAR trust,200769623,2019-01-29,2019-01-29,2019-01-29,34035.71
SA systems,200759878,2019-06-19,2019-06-19,2019-06-19,81427.89
DEMOU us,200793088,2019-08-29,2019-08-29,2019-08-29,148653.48
SYSCO  in,200714710,2019-02-26,2019-02-26,2019-02-26,881.08
COLORA systems,200308132,2019-08-27,2019-08-27,2019-08-27,23707.2
BJ'S  systems,200726979,2019-04-24,2019-04-24,2019-04-24,167.97
COLABOR  co,140104340,2019-05-16,2019-05-16,2019-05-16,326.39
WAL-M associates,140106408,2019-10-01,2019-10-01,2019-10-01,26663.52
SYSC foundation,200331749,2019-10-01,2019-10-01,,5320.85
ASSOCIAT associates,200772670,2019-10-01,2019-10-01,,30900.83
SO llc,140104440,2019-05-21,2019-05-21,2019-05-21,263908.02
WAL-MAR corp,200769623,2019-10-15,2019-10-15,2019-10-15,15608.85
WAL-MAR corp,200769623,2019-07-08,2019-07-08,2019-07-08,64523.68
DECA corporation,200230690,2019-11-28,2019-11-28,2019-11-28,981.17
SYSCO F foundation,200718130,2020-03-13,2020-03-13,2020-03-13,23669.98
C associates,200778870,2019-07-25,2019-07-25,2019-07-25,133941.99
VAN  us,200790215,2020-04-24,2020-04-24,2020-04-24,43342.59
H E BUT systems,200761734,2019-03-15,2019-03-15,2019-03-15,52633.36
BOZZU us,200779906,2019-05-24,2019-05-24,2019-05-24,18335.4
ROADTOWN in,100049850,2019-07-19,2019-07-19,2019-07-19,30.18
BJ'S  co,200726979,2019-07-01,2019-07-01,2019-07-01,126.24
KROGER corporation,200748108,2020-03-11,2020-03-11,2020-03-11,17457.22
DELHAIZE llc,100031704,2020-03-04,2020-03-04,2020-03-04,74006.39
BJ'S  associates,200726979,2019-10-24,2019-10-24,2019-10-24,709.01
RESTA us,200974851,2019-07-23,2019-07-23,2019-07-23,3098.03
